mlb_site_id,year,league,division,team,wins,losses,runs_scored,runs_allowed
110,2024,アメリカン・リーグ,東地区,ボルチモア・オリオールズ,91,71,786,699
111,2024,アメリカン・リーグ,東地区,ボストン・レッドソックス,81,81,751,747
147,2024,アメリカン・リーグ,東地区,ニューヨーク・ヤンキース,94,68,815,668
139,2024,アメリカン・リーグ,東地区,タンパベイ・レイズ,80,82,604,663
141,2024,アメリカン・リーグ,東地区,トロント・ブルージェイズ,74,88,671,743
145,2024,アメリカン・リーグ,中地区,シカゴ・ホワイトソックス,41,121,507,813
114,2024,アメリカン・リーグ,中地区,クリーブランド・ガーディアンズ,92,69,708,621
116,2024,アメリカン・リーグ,中地区,デトロイト・タイガース,86,76,682,642
118,2024,アメリカン・リーグ,中地区,カンザスシティ・ロイヤルズ,86,76,735,644
142,2024,アメリカン・リーグ,中地区,ミネソタ・ツインズ,82,80,742,735
133,2024,アメリカン・リーグ,西地区,オークランド・アスレチックス,69,93,643,764
117,2024,アメリカン・リーグ,西地区,ヒューストン・アストロズ,88,73,740,649
108,2024,アメリカン・リーグ,西地区,ロサンゼルス・エンゼルス,63,99,635,797
136,2024,アメリカン・リーグ,西地区,シアトル・マリナーズ,85,77,676,607
140,2024,アメリカン・リーグ,西地区,テキサス・レンジャーズ,78,84,683,738
144,2024,ナショナル・リーグ,東地区,アトランタ・ブレーブス,89,73,704,607
146,2024,ナショナル・リーグ,東地区,マイアミ・マーリンズ,62,100,637,841
121,2024,ナショナル・リーグ,東地区,ニューヨーク・メッツ,89,73,768,697
143,2024,ナショナル・リーグ,東地区,フィラデルフィア・フィリーズ,95,67,784,671
120,2024,ナショナル・リーグ,東地区,ワシントン・ナショナルズ,71,91,660,764
112,2024,ナショナル・リーグ,中地区,シカゴ・カブス,83,79,736,669
113,2024,ナショナル・リーグ,中地区,シンシナティ・レッズ,77,85,699,694
158,2024,ナショナル・リーグ,中地区,ミルウォーキー・ブリュワーズ,93,69,777,641
134,2024,ナショナル・リーグ,中地区,ピッツバーグ・パイレーツ,76,86,665,739
138,2024,ナショナル・リーグ,中地区,セントルイス・カージナルス,83,79,672,719
109,2024,ナショナル・リーグ,西地区,アリゾナ・ダイアモンドバックス,89,73,886,788
115,2024,ナショナル・リーグ,西地区,コロラド・ロッキーズ,61,101,682,929
